SeriesTitle,EpisodeTitle,Season,EpisodeTMSID,SeriesTMSID,,DisplayName,Licensee,AssetLanguage,Territory,TerritoryExclusion,WorkType,EntryType,SeriesTitleDisplayUnlimited,SeasonNumber,DistributionNumber,EpisodeNumber,LocalizationType,EpisodeTitleDisplayUnlimited,SeasonTitleInternalAlias,SeasonTitleDisplayUnlimited,EpisodeCount,SeasonCount,SeriesID,SeasonID,EpisodeTitleID,EpisodeID,SeriesAltID,SeasonAltID,EpisodeAltID,ALID,CompanyDisplayCredit,GroupIdentity,Director,LicenseType,LicenseRightsDescription,FormatProfile,HDR,WCG,HFR,NGAudio,Start,StartLag,End,EndLag,WindowDuration,SpecialPreOrderFulfillDate,PriceType,PriceValue,PriceCurrency,SRP,Description,Download,OtherTerms,OtherInstructions,SeriesContentID,SeasonContentID,EpisodeContentID,AvailID,UV_ID,DMA_ID,ReportingID,Metadata,SuppressionLiftDate,AnnounceDate,ReleaseYear,ReleaseHistoryOriginal,ReleaseHistoryPhysicalHV,ExceptionFlag,RatingSystem,RatingValue,RatingReason,RentalDuration,WatchDuration,FixedEndDate,CaptionIncluded,CaptionExemption,Any,ContractID,TitleStatus,Exclusive,ExclusiveAttributes,BrandingRights,BrandingRightsAttributes,ServiceProvider,TotalRunTime,HoldbackLanguage,AllowedLanguages,RequiredFulfillmentLanguages,RetailerEpisodeID1,RetailerEpisodeID2,RetailerSeasonID,RetailerSeriesID,RetailerSpare1,RetailerSpare2,RetailerSpare3,Notes
Biblical Collector's Series,Biblical Armageddon,1,EP024319970008,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,8,,Biblical Armageddon,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E8_655926851746_253283366736,S1_E8_655926851746_253283366736,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E8_655926851746_253283366736,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
Biblical Collector's Series,Biblical Authors,1,EP024319970007,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,7,,Biblical Authors,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E7_655927875817_253283366735,S1_E7_655927875817_253283366735,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E7_655927875817_253283366735,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
Biblical Collector's Series,Biblical End Times,1,,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,10,,Biblical End Times,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E10_655928387546_253283366738,S1_E10_655928387546_253283366738,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E10_655928387546_253283366738,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Episode not found - manual verification needed
Biblical Collector's Series,Lost Biblical Treasures,1,EP024319970012,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,11,,Lost Biblical Treasures,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E11_655928387547_253283366739,S1_E11_655928387547_253283366739,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E11_655928387547_253283366739,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
Biblical Collector's Series,Noah’s Ark and the Biblical Flood,1,,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,2,,Noah’s Ark and the Biblical Flood,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E2_655928387551_253283366740,S1_E2_655928387551_253283366740,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E2_655928387551_253283366740,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Episode not found - manual verification needed
Biblical Collector's Series,Biblical Women,1,EP024319970003,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,3,,Biblical Women,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E3_697921091507_253282854772,S1_E3_697921091507_253282854772,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E3_697921091507_253282854772,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
Biblical Collector's Series,Biblical Prophecies,1,EP024319970002,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,12,,Biblical Prophecies,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E12_1564555331819_291063846705,S1_E12_1564555331819_291063846705,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E12_1564555331819_291063846705,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
Birthright Outlaw: Bible Study,Episode 1,1,1,,,pureflix,,,US,,episode,Full Extract,Birthright Outlaw: Bible Study,1,,1,,Episode 1,,,,,,,,,S_2272819779901_521510950653,S1_2272831555898_521510950675,S1_E1_2272837699858_521510950689,S1_E1_2272837699858_521510950689,,pureflixus1,,SVOD,SWP,,,,,,9/5/24,,10/12/28,,,,,,,,,,,,S_2272819779901_521510950653,S1_2272831555898_521510950675,S1_E1_2272837699858_521510950689,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to load episodes tab
Birthright Outlaw: Bible Study,Episode 2,1,1,,,pureflix,,,US,,episode,Full Extract,Birthright Outlaw: Bible Study,1,,2,,Episode 2,,,,,,,,,S_2272819779901_521510950653,S1_2272831555898_521510950675,S1_E2_2272837699861_521510950704,S1_E2_2272837699861_521510950704,,pureflixus1,,SVOD,SWP,,,,,,9/5/24,,10/12/28,,,,,,,,,,,,S_2272819779901_521510950653,S1_2272831555898_521510950675,S1_E2_2272837699861_521510950704,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to load episodes tab
Birthright Outlaw: Bible Study,Episode 3,1,1,,,pureflix,,,US,,episode,Full Extract,Birthright Outlaw: Bible Study,1,,3,,Episode 3,,,,,,,,,S_2272819779901_521510950653,S1_2272831555898_521510950675,S1_E3_2272837699863_521510950719,S1_E3_2272837699863_521510950719,,pureflixus1,,SVOD,SWP,,,,,,9/5/24,,10/12/28,,,,,,,,,,,,S_2272819779901_521510950653,S1_2272831555898_521510950675,S1_E3_2272837699863_521510950719,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to load episodes tab
